step,loss
0,2.799953938
50,1.968263745
100,1.69557488
150,1.505721092
200,1.375044584
250,1.302676201
300,1.244107366
350,1.177361488
400,1.1385355
450,1.110915661
500,1.112086415
550,1.075005054
600,1.067012072
650,1.049593806
700,1.032976866
750,1.088831186
800,1.021857619
850,1.018285632
900,1.039131045
950,1.008978844
1000,1.003723264
1050,0.999165118
1100,0.995325983
1150,0.994461298
1200,0.989441097
1250,0.986908436
1300,0.985759079
1350,0.987796485
1400,0.983648837
1450,0.980633676
1500,0.980367184
1550,0.981471181
1600,0.977017999
1650,0.975661695
1700,0.978676736
1750,0.974214971
1800,0.971906841
1850,0.970676959
1900,0.969169676
1950,0.968159378
2000,0.967509627
2050,0.966590345
2100,0.967973113
2150,0.965371192
2200,0.964595854
2250,0.966147959
2300,0.967208862
2350,0.961051822
2400,0.960694551
2450,0.9590078
2500,0.957620025
2550,0.956555784
2600,0.954778373
2650,0.953521967
2700,0.952757776
2750,0.952763438
2800,0.94846946
2850,0.946713805
2900,0.945430934
2950,0.944598675
3000,0.946437716
3050,0.940956533
3100,0.938985288
3150,0.937142551
3200,0.935070932
3250,0.933465779
3300,0.931962192
3350,0.929997623
3400,0.93647486
3450,0.927932262
3500,0.926336884
3550,0.924591482
3600,0.924126506
3650,0.920907259
3700,0.920103252
3750,0.918322265
3800,0.916970849
3850,0.917168736
3900,0.913434327
3950,0.912769616
4000,0.910259008
4050,0.907767832
4100,0.907548487
4150,0.905798793
4200,0.903408587
4250,0.902018964
4300,0.901335478
4350,0.899534583
4400,0.89810729
4450,0.896817207
4500,0.895420253
4550,0.895124257
4600,0.894378781
4650,0.892073631
4700,0.89157021
4750,0.889396727
4800,0.888355911
4850,0.889338136
4900,0.885762632
4950,0.885248721
5000,0.884679019
5050,0.883044779
5100,0.882515609
5150,0.881599486
5200,0.879187763
5250,0.878801048
5300,0.879628718
5350,0.876841724
5400,0.875055015
5450,0.874019504
5500,0.873772681
5550,0.874945223
5600,0.870566487
5650,0.869284749
5700,0.868659317
5750,0.866859198
5800,0.865903735
5850,0.8687253
5900,0.863854945
5950,0.863134146
6000,0.862052262
6050,0.860684037
6100,0.859464705
6150,0.860559404
6200,0.857142627
6250,0.85598892
6300,0.8555848
6350,0.856675148
6400,0.85282594
6450,0.853228331
6500,0.851251364
6550,0.852498472
6600,0.850901902
6650,0.848513842
6700,0.84902662
6750,0.847039342
6800,0.84552151
6850,0.84539783
6900,0.844797671
6950,0.842445731
7000,0.84226805
7050,0.841581464
7100,0.841257572
7150,0.838728011
7200,0.839535654
7250,0.838398159
7300,0.839037299
7350,0.836067021
7400,0.83611685
7450,0.834113061
7500,0.835715413
7550,0.838918567
7600,0.835588992
7650,0.833975554
7700,0.837798655
7750,0.830056727
7800,0.829127073
7850,0.828246176
7900,0.827330053
7950,0.826124072
8000,0.82965523
8050,0.825455666
8100,0.82509166
8150,0.824475646
8200,0.823946953
8250,0.823279142
8300,0.822016954
8350,0.824043572
8400,0.821596384
8450,0.82220155
8500,0.819077671
8550,0.81822288
8600,0.819204032
8650,0.817579031
8700,0.816985607
8750,0.820166945
8800,0.818739891
8850,0.816834927
8900,0.819842756
8950,0.814153075
9000,0.813167274
9050,0.813900888
9100,0.813535988
9150,0.812271178
9200,0.812159598
9250,0.812690079
9300,0.809514105
9350,0.809839666
9400,0.8081159
9450,0.810341656
9500,0.808859527
9550,0.808230579
9600,0.807115078
9650,0.807692766
9700,0.80497396
9750,0.805473506
9800,0.811659932
9850,0.806477308
9900,0.803621054
9950,0.804664612
10000,0.803736031
10050,0.802497029
10100,0.802167296
10150,0.806623995
10200,0.800757587
10250,0.803200603
10300,0.804084778
10350,0.801958144
10400,0.798342288
10450,0.808050334
10500,0.797673881
10550,0.799308002
10600,0.811296225
10650,0.800785303
10700,0.795997679
10750,0.797556877
10800,0.796845913
10850,0.798853219
10900,0.80976212
10950,0.802515507
11000,0.795070827
11050,0.795328259
11100,0.795894623
11150,0.795318365
11200,0.793560147
11250,0.792623222
11300,0.79473561
11350,0.794310331
11400,0.794105887
11450,0.795907497
11500,0.790645778
11550,0.790282369
11600,0.793740451
11650,0.789700449
11700,0.791174233
11750,0.790532649
11800,0.799932897
11850,0.79117614
11900,0.790743351
11950,0.790256381
12000,0.788424611
12050,0.790051281
12100,0.794282556
12150,0.78737694
12200,0.787912726
12250,0.790471137
12300,0.786398411
12350,0.787379146
12400,0.786062479
12450,0.785155594
12500,0.794848382
12550,0.785673857
12600,0.810497999
12650,0.786892891
12700,0.784168243
12750,0.786830783
12800,0.794977367
12850,0.785619736
12900,0.783390999
12950,0.784837961
13000,0.814321399
13050,0.783534944
13100,0.784280837
13150,0.78676331
13200,0.794358075
13250,0.791732669
13300,0.784580648
13350,0.784798443
13400,0.781574309
13450,0.78038162
13500,0.781574547
13550,0.779980838
13600,0.783330142
13650,0.779129565
13700,0.782584608
13750,0.779596746
13800,0.781049848
13850,0.779034853
13900,0.785968661
13950,0.778818905
14000,0.78791225
14050,0.782922029
14100,0.781318188
14150,0.777863503
14200,0.782426536
14250,0.783159137
14300,0.777317345
14350,0.779411495
14400,0.783755243
14450,0.778574586
14500,0.775716364
14550,0.775758922
14600,0.780789256
14650,0.776495278
14700,0.77657187
14750,0.77857244
14800,0.774568319
14850,0.774744332
14900,0.774304271
14950,0.782559454
15000,0.774635851
15050,0.77788049
15100,0.777528226
15150,0.777910292
15200,0.774408281
15250,0.772888601
15300,0.80785495
15350,0.772879839
15400,0.773030639
15450,0.783038795
15500,0.789626002
15550,0.774354279
15600,0.771265149
15650,0.772123039
15700,0.771307468
15750,0.771287978
15800,0.771241784
15850,0.77875191
15900,0.772189677
15950,0.771211505
16000,0.774029136
16050,0.772459567
16100,0.778172493
16150,0.776231468
16200,0.771532595
16250,0.770215511
16300,0.772977233
16350,0.77320528
16400,0.778139889
16450,0.770842195
16500,0.76877749
16550,0.77595365
16600,0.770326555
16650,0.773022592
16700,0.772614121
16750,0.782837749
16800,0.77181983
16850,0.770295203
16900,0.768913329
16950,0.768374324
17000,0.768007278
17050,0.773833275
17100,0.782066286
17150,0.793986142
17200,0.773498416
17250,0.766273081
17300,0.773144007
17350,0.768930316
17400,0.766303122
17450,0.802046716
17500,0.76603961
17550,0.77188307
17600,0.768374026
17650,0.765864968
17700,0.76541394
17750,0.765957892
17800,0.769631982
17850,0.765554786
17900,0.792572677
17950,0.775773048
18000,0.764431179
18050,0.783683717
18100,0.79039973
18150,0.766756594
18200,0.765285015
18250,0.766424537
18300,0.765632033
18350,0.763665915
18400,0.770052314
18450,0.769387841
18500,0.771080256
18550,0.764684439
18600,0.776074946
18650,0.764891028
18700,0.763087094
18750,0.775385439
18800,0.763737619
18850,0.763547182
18900,0.768099368
18950,0.764021635
19000,0.763034821
19050,0.762135863
19100,0.761473596
19150,0.762547314
19200,0.767745972
19250,0.765346766
19300,0.762489438
19350,0.761326551
19400,0.782978117
19450,0.760832787
19500,0.788208544
19550,0.770491421
19600,0.764982283
19650,0.761293769
19700,0.763180375
19750,0.7615484
19800,0.762842655
19850,0.760985255
19900,0.760833263
19950,0.76070714
20000,0.762750506
20050,0.760354698
20100,0.765166283
20150,0.76061064
20200,0.761653304
20250,0.759336054
20300,0.761589468
20350,0.760953069
20400,0.760082424
20450,0.767881632
20500,0.764758587
20550,0.76677525
20600,0.763431668
20650,0.759695947
20700,0.75866133
20750,0.766085267
20800,0.760786831
20850,0.757937074
20900,0.76191318
20950,0.760931134
21000,0.758934677
21050,0.757716358
21100,0.758039176
21150,0.77643919
21200,0.767962575
21250,0.761365592
21300,0.759532571
21350,0.761678636
21400,0.7589553
21450,0.757720888
21500,0.757113278
21550,0.761900902
21600,0.757543027
21650,0.766499877
21700,0.767244518
21750,0.767657936
