step,train_loss,val_loss
0,2.799953938,2.752483845
50,1.968263745,1.954322100
100,1.695574880,1.688146353
150,1.505721092,1.499111652
200,1.375044584,1.375152588
250,1.302676201,1.347388864
300,1.244107366,1.235749960
350,1.177361488,1.174534678
400,1.138535500,1.139612556
450,1.110915661,1.112083435
500,1.112086415,1.092993259
550,1.075005054,1.081358075
600,1.067012072,1.063166618
650,1.049593806,1.049036145
700,1.032976866,1.033342123
750,1.088831186,1.055910826
800,1.021857619,1.021385074
850,1.018285632,1.019250393
900,1.039131045,1.014727592
950,1.008978844,1.008373618
1000,1.003723264,1.001717925
1050,0.999165118,0.997360647
1100,0.995325983,0.996921182
1150,0.994461298,0.998662412
1200,0.989441097,0.988807201
1250,0.986908436,0.987167537
1300,0.985759079,0.984804809
1350,0.987796485,0.986875236
1400,0.983648837,0.982061386
1450,0.980633676,0.983009517
1500,0.980367184,0.984456420
1550,0.981471181,0.989891171
1600,0.977017999,0.978754997
1650,0.975661695,0.978555918
1700,0.978676736,0.978047371
1750,0.974214971,0.977748692
1800,0.971906841,0.974821031
1850,0.970676959,0.973910630
1900,0.969169676,0.972620249
1950,0.968159378,0.972410023
2000,0.967509627,0.971584857
2050,0.966590345,0.971028805
2100,0.967973113,0.984625220
2150,0.965371192,0.970698237
2200,0.964595854,0.970443189
2250,0.966147959,0.976008177
2300,0.967208862,0.969833910
2350,0.961051822,0.968751073
2400,0.960694551,0.968129754
2450,0.959007800,0.967170298
2500,0.957620025,0.968145192
2550,0.956555784,0.966605961
2600,0.954778373,0.964310110
2650,0.953521967,0.963062882
2700,0.952757776,0.962224126
2750,0.952763438,0.968060613
2800,0.948469460,0.959800541
2850,0.946713805,0.958703518
2900,0.945430934,0.958068609
2950,0.944598675,0.956160367
3000,0.946437716,0.961298168
3050,0.940956533,0.956401825
3100,0.938985288,0.954073071
3150,0.937142551,0.952527761
3200,0.935070932,0.952359438
3250,0.933465779,0.950067878
3300,0.931962192,0.949502647
3350,0.929997623,0.948078752
3400,0.936474860,0.947678089
3450,0.927932262,0.945166767
3500,0.926336884,0.944108784
3550,0.924591482,0.943193674
3600,0.924126506,0.941744983
3650,0.920907259,0.940404177
3700,0.920103252,0.939051867
3750,0.918322265,0.940753222
3800,0.916970849,0.934695661
3850,0.917168736,0.937494516
3900,0.913434327,0.932366967
3950,0.912769616,0.931129694
4000,0.910259008,0.929853857
4050,0.907767832,0.928205848
4100,0.907548487,0.926998198
4150,0.905798793,0.926809788
4200,0.903408587,0.925455749
4250,0.902018964,0.925395966
4300,0.901335478,0.923436642
4350,0.899534583,0.923351407
4400,0.898107290,0.921528399
4450,0.896817207,0.921706438
4500,0.895420253,0.920156717
4550,0.895124257,0.920145273
4600,0.894378781,0.920144916
4650,0.892073631,0.918560207
4700,0.891570210,0.918181121
4750,0.889396727,0.917559981
4800,0.888355911,0.915515602
4850,0.889338136,0.915916920
4900,0.885762632,0.915310562
4950,0.885248721,0.913766742
5000,0.884679019,0.912632644
5050,0.883044779,0.911861479
5100,0.882515609,0.911468208
5150,0.881599486,0.911141098
5200,0.879187763,0.909527421
5250,0.878801048,0.908549011
5300,0.879628718,0.909363508
5350,0.876841724,0.908417583
5400,0.875055015,0.907111049
5450,0.874019504,0.906495869
5500,0.873772681,0.907454908
5550,0.874945223,0.907145143
5600,0.870566487,0.907347202
5650,0.869284749,0.904257417
5700,0.868659317,0.904090166
5750,0.866859198,0.902488828
5800,0.865903735,0.901813209
